payloads,distances,joules_available,energy_used
4.136,71804,696480,2039066
4.088,83606,1333920,2066716
1.544,31561,1558240,651085
3.896,40157,25760,1162922
4.424,99671,694080,3130494
3.224,87547,500800,2417388
2.504,42138,1399520,1040963
1.016,47752,1574240,1023551
4.712,65000,467840,1919641
0.344,69452,249440,1078605
4.088,75080,1235680,2395132
1.832,75990,1113280,1748689
4.664,55928,1398400,1727451
3.368,90102,1178880,2313368
4.712,91551,961120,2544020
3.368,48613,626880,1509984
2.216,42859,834560,1081513
3.848,86686,485920,2868551
4.568,99454,375840,3054967
4.856,66204,55520,1663688
2.648,70068,1192160,1892169
1.016,55543,63680,760247
2.552,32863,478080,701898
4.184,85993,1040000,2617367
3.608,96388,1255520,2940861
1.88,63663,992960,1207375
2.456,77957,662400,1682902
0.728,83536,1141600,1476894
1.784,58077,251200,1394508
3.128,95156,419520,2576177
0.296,56089,1146240,1129950
4.184,46996,739520,1353737
4.424,52330,1220800,1527093
1.256,52281,1039520,1115523
2.552,62060,153600,1544941
3.176,81310,85280,2100134
1.304,33745,854880,726563
0.872,69613,1018560,1750467
2.648,68549,430240,1841388
0.872,64685,891680,922684
3.272,99594,125120,2715142
1.304,57370,851520,1124582
4.28,72987,1175520,1855814
3.32,99132,1290720,2723632
3.752,62207,92160,1573104
1.016,61857,1268800,1012548
4.232,62669,1068320,1967528
4.184,37042,1029920,960943
0.776,47220,895680,891928
3.032,35621,872640,862138
2.216,61885,283040,1157707
4.904,66288,1293760,1975980
3.464,82003,361440,2497335
2.168,43440,650720,932933
4.76,58441,1362080,1265528
2.696,59715,313280,1631166
1.496,73673,81600,1290840
0.824,58511,190880,981301
4.472,69403,196320,2227186
1.688,90648,526880,1820599
3.464,38771,1429600,1012677
2.744,93336,1536480,2345599
2.456,91481,836960,1974083
2.264,80799,659520,1968121
1.16,42887,1134400,792506
2.888,88443,1158240,2216819
2.696,82360,92160,1885863
1.88,32051,1355200,805657
2.024,64251,175360,1335047
3.224,90718,1159520,1955323
2.12,55263,149760,1227713
4.28,71916,1042240,1947299
1.784,99405,1439200,2187746
3.464,42278,217120,950914
1.064,32275,1086240,644918
4.04,31015,719040,828069
1.112,46142,1535680,688979
4.616,75787,683040,2280001
3.08,92685,945440,2511922
3.08,88016,1162560,2206133
1.496,51434,1572960,1338057
1.832,81800,572160,2054197
1.784,54402,1159680,1166084
0.92,42495,97120,884502
2.312,41998,1156160,849345
4.568,59134,1059360,1595854
2.648,87743,1208960,2043977
3.512,88758,1021760,2594581
4.664,73295,1067840,1935661
0.344,50909,321920,893017
0.968,95758,1529280,1430902
3.32,59806,335200,1554004
1.88,80757,1025280,1757609
2.504,99370,1327040,2423350
3.848,48473,318720,1258631
4.76,38057,1546240,998205
1.304,63159,1395840,1334623
4.904,94491,954240,2637205
2.12,88170,1515520,1319853
4.136,85426,1530080,2726016
2.12,68458,136960,1624709
4.232,80876,1564320,2306658
2.84,92377,610720,2420827
0.728,56586,632160,865233
3.176,40388,241600,1043255
1.64,50524,1376320,940030
2.072,41284,56480,854007
3.656,54535,1081440,1527879
0.824,66855,1481120,1252126
3.704,96087,47200,2651019
0.824,35880,69120,674478
4.76,67415,617280,1838302
1.352,76403,197440,1542097
3.752,31225,89760,770078
0.824,41368,38240,643612
3.752,93672,450880,2386067
3.752,95296,480320,2027929
4.184,47871,982720,1451928
3.32,88093,1197600,2212089
0.296,56446,753760,749475
4.808,66736,562240,2208070
4.568,52631,83840,1691338
1.064,51980,133760,905995
0.2,61367,1556480,1009805
3.704,51889,1344960,1312565
4.808,56369,569120,1862054
4.568,57678,603680,1673666
4.04,67989,740480,2068391
2.216,81170,1435840,1878026
2.12,80596,1043520,1840002
3.176,92223,557760,2235458
4.184,83536,162720,2466178
4.76,58196,1428320,1751761
4.136,48767,116480,1225450
2.264,45855,159840,1173185
2.6,61150,1206560,1253841
4.856,46982,534560,1177506
0.344,44490,271680,757302
3.896,36678,1164800,1022041
3.224,35950,642720,951580
1.4,96339,1310880,1990935
2.744,41522,663840,760901
3.848,93231,654080,2345433
2.744,50489,98240,1302308
1.448,36391,1521440,711016
4.136,31274,639360,829890
2.84,61360,164960,1542967
3.848,39163,1589600,900092
2.552,38792,789920,807762
1.928,50804,977120,895329
0.296,48627,544800,851185
4.52,55312,704640,1515387
2.456,55949,964320,1558431
3.56,48018,850400,1231416
4.328,88863,524800,2562842
1.88,63131,690720,1214684
4.232,97606,1529120,2379389
3.608,48858,1565760,1208373
2.648,41270,1435840,1025537
1.832,67667,1031360,1540300
3.176,91320,1220000,2426879
3.08,91131,789440,2106032
3.176,49656,1557120,1163637
4.28,53597,235040,1429407
0.584,31981,1333120,563294
2.648,45512,609760,1085220
3.08,59680,383200,1612200
3.896,46758,621920,1371050
3.992,98614,1348320,2219536
3.032,32877,62720,835939
4.472,94288,1597760,3189646
1.976,66995,1418720,1544685
3.272,57951,1421600,1361066
4.232,35467,243360,982603
3.128,44504,402880,1230163
4.088,38288,1082720,909508
1.016,47969,819360,920827
2.888,73505,1365120,1691660
2.504,86217,601280,1996450
2.504,69270,1053600,1992181
4.952,49495,772480,1855752
1.352,72413,1468960,1858026
2.84,51602,297920,1259833
1.496,98915,978880,2139132
3.896,73323,736160,1668168
4.856,31449,217600,974424
2.12,52708,162240,1342623
2.216,34914,725600,747191
1.112,63082,1166720,1258809
2.696,75409,1501920,1790993
1.832,79742,1046720,2223941
4.568,58602,870240,1444141
4.568,53072,622880,1413779
2.312,88310,266880,1980565
4.856,80218,73440,1954671
3.896,50552,168960,1289984
4.568,75710,1005280,2555635
1.976,50783,641120,1002324
2.168,87456,164160,1924719
3.752,98012,8800,2856111
0.92,82997,137280,1534629
1.352,97207,1193120,1845933
3.272,94764,1203360,2833506
1.736,38638,487360,825902
0.68,72812,1214720,1079010
3.512,84866,187040,2160212
3.704,36755,518080,1040866
4.328,83088,202880,2209463
1.88,73988,837600,1541860
3.08,31645,1122560,686903
2.504,79770,1269280,1668519
0.44,54052,478080,1055527
0.68,58693,317280,782188
4.424,90382,375680,2243458
2.024,69144,845120,1566512
2.984,31743,1322880,704652
3.08,43881,1093920,956042
0.296,62242,587040,944423
0.632,37868,1146240,634593
2.936,51315,976800,1420182
4.472,58518,1274240,1589563
2.936,85062,1145760,2002834
1.592,53415,739520,1275177
4.28,37819,1302240,1077983
2.744,66785,414240,1614181
2.216,80946,16000,1771237
3.704,51567,267680,1253482
2.648,54199,422880,1121143
3.992,99734,756480,2883940
0.296,52316,850560,914407
4.424,78559,1502400,2181537
4.04,65336,1473120,1562794
0.776,99573,993920,2143055
1.928,37154,1572160,964442
3.656,55417,892480,1403318
0.2,32695,354400,507256
2.168,59666,1489440,1441200
4.088,89864,681120,2986928
1.16,45722,402400,913475
1.64,41312,1003520,900627
1.064,99027,595040,1954281
1.064,76284,323680,1687711
3.032,54283,1430560,1305109
0.296,35124,1402720,556056
2.216,71790,553120,1208665
4.904,53828,1436960,1442202
2.888,42369,354400,1028696
